stemmed_words,Tags,predicted_labels
english languag well suit talk artifici intellig make difficult human communic ai actual thus may make sens use human like term describ action machineri even intern properti machineri resembl intern properti human anthropomorph languag use lot technolog see hacker dictionari definit anthropomorph attempt justifi comput programm use anthromporh term describ technolog ai continu advanc may use consid tradeoff use anthropomorph languag communic technic audienc non technic audienc get good handl ai even describ suppos want develop algorithm display list relat articl two way explain algorithm work layman anthropomorph algorithm read articl websit display articl similar articl look technic algorithm convert articl bag word compar bag word articl determin articl share common word articl share word bag one display user obvious may technic correct detail implement algorithm make easier someon understand fix algorithm produc output disagre heavili readabl eleg easier understand provid general sens algorithm instead algorithm abstract away implement detail comput read articl focus use algorithm real world scenario therefor prefer use anthropomorph languag emphas statement p answer depend audienc speak non technic audienc might prefer technic audienc may prefer let know well,philosophy,",algorithm,emotional-intelligence,facial-recognition,image-recognition,math"
roger schank interest work languag process conceptu depend cd move somewhat field educ day use applic natur languag generat babel stori generat tailspin area often involv plan episod rather individu sentenc anybodi els continu use cd variant thereof awar project apart hovi paulin use cd represent stori generat,"nlp,knowledge-representation",",natural-language"
want get start learn artifici intellig know almost noth code anyth question would best way get start learn artifici intellig learn kind code languag kind concept need know get start kind look best way get start liter know noth,research,",ai-community"
studi local search algorithm greedi hill climb stochast hill climb simul anneal etc notic method take littl memori compar systemat search techniqu local search algorithm make use memori give signific better answer algorithm use littl memori cross local maxima also way combin local search systemat search algorithm get best world,search,",algorithm,optimization,search"
know everi program posit negat point know mayb net program languag best ai program prefer net program languag experi would like know ai program one better c c c vb one languag faster stabl run differ queri self learn make summari think c best ai program net also c use project python recommend option view complex languag everi singl move need find librari import project librari date work new releas python version peopl say easi languag learn use start creat librari languag could hardest languag world creat program use librari everi singl option project like lego game sure think cheap program languag find good program creat languag,intelligent-agent,",machine-learning,python"
visit site find word search appear quit often import kind search algorithm use artifici intellig improv result ai,search,",algorithm,optimization,search"
consid answer question emul human brain current comput capac current imposs far note decad ago similar calcul similar result clock frequenc modern cpus seem stop current miniatur mobil use ram cach improv multi core paralel main line develop ok case analog chip case nn big problem accur nn would adapt minor manufactur differ learn phase singl analog wire substitut complex integ multipl divis unit whole surfac analog print circuit could work parallel accord post softwar rewir analog circuit essenti analog fpgas alreadi exist although capac fpgas high capac asic size mayb analog chip neural network could also exist suspect correct mayb even real human brain model far would still requir massiv parallel system cost analog nn chip seem imposs could idea work mayb even activ research develop direct,neural-networks,",neural-networks,neurons,research"
conceptu speak artifici neural network high distribut lossi compress scheme certain effici compress imag brain least neocortex compartment high distribut lossi databas salient featur rnns cnns necessari given lossi compress scheme order extract semant relat matter larg number dimens variabl could kind lossi bloom filter purpos kind problem ann appli,neural-networks,",neural-networks"
conscious challeng defin question let defin actual experienc sensori input oppos put bunch data inanim machin human cours mind normal comput thing see data one could altern say human sentient tradit comput set asid question whether possibl build sentient machin actual make differ ai sentient word task made imposs difficult lack sentienc,philosophy,",human-like,philosophy,turing-test"
lot textbook introductori lectur typic split ai connection gofai good old fashion ai pure technic perspect seem connection grown machin learn data scienc nobodi talk gofai symbol ai expert system anyon note still work gofai,"gofai,symbolic-computing",",philosophy,strong-ai"
recent finish cours rl david silver yt thought tri simpl applic uniti game engin built simpl labyrint ball want teach ball get point point b avoid obstacl fire place get burnt big negat reward problem encount design whole thing program wise correct least good way repres posit space continu thought repres featur vector consist left right posx posi direct whether press button move direct binari action want pos float repres normal posit one corner plane whole map would accompani vector w would repres weight adjust use gradient descent question work ask reason one sure posx posi sinc multipli weight vector could result reward anyth second reason sure action part featur mean make sens could easili wrong sinc beginn thank lot guy advanc question think problem describ deepli enough ask comment edit question ps could code way think right also want get gasp design applic paper code project manag,"reinforcement-learning,models,implementation,q-learning",",deep-learning,reinforcement-learning"
current work java develop much interest learn artifici intellig anybodi tell step follow learn artifici intellig consid fact new special technolog learn someth els,"machine-learning,self-learning,learning-algorithms,ultraintelligent-machine",",ai-community"
self recognit seem item design tri integr artifici intellig general recogn method machin would one test capac ture test,intelligence-testing,",markov-chain"
know deepmind use deep q learn dqn atari game ai use conv neural network cnn approxim q pixel instead q tabl want know dqn convert input action mani output cnn train neural network predict step believ happen insid dqn game pictur state send cnn input valu cnn predict output action eg left right shoot etc simul appli predict action move new game state repeat step problem logic step cnn use predict action cnn train predict would prefer use less math explan edit want add question regard topic reward pass neural network neural network know whether output action obtain posit negat reward mani output neural network action determin output,"deep-network,deep-learning,convolutional-neural-networks,gaming",",convolutional-neural-networks,neural-networks"
lectur statement recurr neural network multipl hidden layer special case hidden hidden connect miss understand recurr mean connect previous layer layer well visual avail easili understand statement,"hidden-layers,recurrent-neural-networks",",artificial-neuron,hidden-layers,machine-learning,neural-networks"
inattent blind common human see https en wikipedia org wiki inattent blind could also common machin built artifici vision,image-recognition,",knowledge-representation,natural-language"
question regard standard dens connect feed forward neural network sigmoid activ studi bayesian optim hyper paramet select neural network doubt effect method wan delv littl deeper math question neural network lipschitz function,"neural-networks,optimization,math",",neural-networks"
one actual kill machin problem defin life also problem defin death also true artifici life artifici intellig,"philosophy,death",",gradient-descent"
general peopl classifi aggress type passiv could program ai system caus aggress passiv behavior ai,"philosophy,emotional-intelligence,human-like",",markov-chain"
assum mankind eventu creat artifici human put equal effort human relat artifici human expect return happen real time place ai truck car road peopl right question mayb court ai machin break law,"philosophy,legal",",cars,self-driving"
ai death still unclear concept may take sever form allow come back dead exampl ai could somehow forbidden anyth permiss execut infring law somehow forbid topic question probabl rule like ai social law conclud ai die sentenc absenc progress jail could manag ai state,death,",machine-learning"
self drive car deal snow heavi rain weather condit like deal unusu event duck road,"self-driving,cars",",self-driving,social"
peopl tri answer question neural network howev anyon came thought make neural network ask question instead answer question exampl cnn decid categori object belong ask question help classif,"neural-networks,deep-learning",",convolutional-neural-networks,neural-networks"
mar explor rover mer opportun land mar januari rover origin design sol mission sol one martian day slight longer earth day hour minut mission extend sever time machin still trekk year red planet work year anyon pleas explain smart rover ai concept behind,"control-problem,robotics,nasa",",machine-learning,pattern-recognition"
use opencv train haar cascad detect face pattern howev later realiz haar tend give lot fals posit learn hog would give accur result opencv good document train hog googl bit found result includ svm opencv also version problem move certain class function somewher els techniqu method use train detect object pattern prefer proper document basic tutori exampl languag prefer c java c python,"object-recognition,detecting-patterns",",ai-basics,getting-started,python"
futur robot machin go use stack exchang communiti teach ongo project imagin bot memori q amp communiti,"ai-design,self-learning,knowledge-representation",",pattern-recognition"
mankind creat machin work could also creat passion within machin better work use artifici intellig would passion caus machin better job could measur quantiti qualiti passion compar output machin machin passion without,"philosophy,emotional-intelligence",",philosophy"
ai system creat could recogn recogn intellig system make intellig decis system mankind seem make progress self recognit seen evid one system recogn system abl compar intellig system could accomplish,philosophy,",decision-theory"
iq use measur intellig machin human point time would iq intellig ai system iq best compar intellig machin one machin anoth question ask measur iq machin iq prefer general method measur intellig artifici intellig compar accept method measur intellig human mani peopl may understand relev ture test intellig new car type intellig machin,philosophy,",ethics,philosophy,theorics"
think ai would work realis think way ai could taught languag child tend learn languag associ languag pictur object e g peopl say word dog around dog later realis peopl say dog car learn mean howev text base ai use method learn access sort input devic way could come program everi word rule english languag whatev languag meant speak howev would potenti take year anyon idea could done done alreadi thank advanc idea btw context use ai mean artifici intellig system near human intellig prior knowledg languag,natural-language,",ai-community"
would ai self propog iter previous ai destroy optimis ai child would ai branch ai warn creat new ai,ai-design,",philosophy"
short deep learn refer deep learn branch machin learn base set algorithm attempt model high level abstract data use deep graph multipl process layer compos multipl linear non linear transform various deep learn architectur deep neural network convolut deep neural network deep belief network recurr neural network appli field like comput vision automat speech recognit natur languag process audio recognit bioinformat shown produc state art result various task question deep neural network convolut deep neural network view ensembl base method machin learn differ approach,"neural-networks,machine-learning,deep-learning,convolutional-neural-networks",",ai-design,algorithm,neural-networks"
convolut neural network summarili better pattern recognit exist imag process librari use cnn still hard outstand problem imag process seem beyond capabl,"image-recognition,comparison,convolutional-neural-networks",",convolutional-neural-networks,neural-networks"
mess around tensorflow playground one input data set spiral matter input paramet choos matter wide deep neural network make fit spiral data scientist fit data shape,"neural-networks,classification,tensorflow",",deep-learning,keras,neurons,tensorflow"
general intellig may capabl learn lot differ thing possess capabl equal actual agi must learn learn process take time want agi drive car play go find way teach keep mind never built agi know long train process would safe assum pessimist estim contrast narrow intellig narrow ai alreadi know drive car play go program excel one specif task need worri train machin alreadi pre train general intellig seem flexibl narrow intellig could buy agi drive car play go train even teach new trick bake cake worri unexpect task come sinc agi eventu figur given enough train time would wait long time though narrow intellig appear effici assign task due program specif task know exact wast time learn unlik agi buddi instead buy one agi handl bunch differ task poor would rather buy bunch special narrow ai narrow ai drive car narrow ai play go narrow ai bake cake etc said brittl approach sinc unexpect task come none narrow ai would abl handl accept risk though think correct trade flexibl agi effici narrow ai like describ theoret possibl agi flexibl effici,"ai-design,strong-ai,weak-ai",",agi,philosophy,theorics"
neural network nn system architectur use store retriev inform exampl store whole avatar movi hd format insid neural network retriev without loss neural network need search web came across lstm rnn understand lstm store pattern content nn exist explain,neural-networks,",deep-learning,lstm,prediction,unsupervised-learning"
question architectur deep residu network resnet model st place larg scale visual recognit challeng ilsvrc five main track imagenet classif ultra deep quot yann layer net imagenet detect better nd imagenet local better nd coco detect better nd coco segment better nd sourc msra ilsvrc amp coco competit present nd slide work describ follow articl deep residu learn imag recognit pdf microsoft research team develop resnet kaim xiangyu zhang shaoq ren jian sun articl ident map deep residu network state depth play key role obtain result via simpl essenti concept go deeper result demonstr potenti push limit depth emphas present also deeper better deeper model higher train error deeper resnet lower train error also lower test error deeper resnet lower error benefit deeper featur cumul gain deeper still better sctructur layer residu refer recent found one theori introduc novel interpret residu network show exponenti ensembl residu network exponenti ensembl relat shallow network deep resnet describ mani shallow network whose output pool various depth pictur articl attach explan residu network convent shown natur represent equat expand formul equat obtain unravel view block residu network b view appar residu network n implicit path connect input output ad block doubl number path conclus articl state depth ensembl make residu network strong residu network push limit network multipl network depth propos unravel view lesion studi show residu network implicit ensembl exponenti mani network path contribut gradient short compar overal depth network increas depth alon key characterist residu network believ multipl network express term number path play key role recent theori confirm refut happen sometim theori refut articl withdrawn question think deep resnet ensembl ensembl depth make residu network strong possibl even develop quit perceiv model repres key concept,"neural-networks,machine-learning,deep-network,deep-learning,pattern-recognition",",heuristics,knapsack-problem,research"
attempt tri learn neural network machin learn tri creat simpl neural network train recognis one word given string contain one word effect one feed string contain train word spell wrong network would abl still recognis word anybodi help pseudo code start code general explan read like articl exampl project still clue,"neural-networks,machine-learning",",convolutional-neural-networks,deep-network,machine-learning,neural-networks"
jeff hawkin inventor palm pilot publish interest book call intellig detail theori human neocortex work theori call memori predict framework strike featur exampl bottom feedforward also top inform process abil make simultan discret predict differ futur scenario describ paper promis memori predict framework unsupervis generat stabl high level represent futur possibl someth would revolutionis probabl whole bunch ai research area hawkin found compani proceed implement idea unfortun ten year later promis idea still unfulfil far implement use anomali detect kind opposit realli want instead extract understand extract instanc artifici cortex understand question way hawkin framework fall short concret conceptu problem far prevent theori work practic,unsupervised-learning,",research"
far tell neural network fix number neuron input layer neural network use context like exampl nlp sentenc block text vari size fed network vari input size reconcil fix size input layer network word network made flexibl enough deal input might anywher one word multipl page text assumpt fix number input neuron wrong new input neuron ad remov network match input size see ever train give exampl nlp lot problem inher unpredict input size interest general approach deal edit imag clear downsampl fix size text seem imposs approach sinc ad remov text chang mean origin input,"neural-networks,machine-learning,deep-learning,convolutional-neural-networks,implementation",",convolutional-neural-networks,detecting-patterns,machine-learning,neural-networks,pattern-recognition"
estim two mind manag speak dialect seri interrupt thus one time one system control master inhabit conscious subordin system control context constant prime sens subordin system experi conscious thought process see think fast slow daniel kahneman thus thought process constant driven one similar system work node communiti standalon thing think current artifici think abstract long way describ question artifici intellig system intern dialect approach driver conceiv develop within communiti node,philosophy,",human-like,philosophy,turing-test"
recent pc game ture test ai tom need help ava get puzzl room tom say unabl solv puzzl allow think later specif say would thought throw box window solv first room creator stori goe turn capabl think could produc ethic suboptim solut like chop arm leav pressur plate would creativ puzzl solv abil need remov ai keep result reason could get benefit later think without lose arm,"agi,problem-solving",",game-ai,machine-learning"
recent festiv scienc talk given research mike cook angelina ai game design invent game mechan made game news stori first ai enter game jam aim angelina ai basic design videogam briefli exact angelina design new game work behind scene,"algorithm,gaming",",research"
understand neural network model biolog neuron node network repres neuron cell connect node repres connect cell natur neuron fire electr signal connect neuron base kind threshold function mimic recent discoveri brain work reveal import calcium within cell see http link springer com articl bf inform summar calcium affect regul stimul transmiss electr activ well destruct neuron studi neural network seem calcium equival one would impli function connect weight artifici network configur train execut process chang time understand back propag use train weight seen anyth train function connect although zero weight could impli connect anyon know network train algorithm network perform better network pre configur,"philosophy,unsupervised-learning,neurons",",ai-design,algorithm,neural-networks"
freshman machin learn know kind problem life problem human solv problem solv problem human solv alway tri best write algorithm tell machin follow step step final machin act like peopl curious problem human solv human sum get algorithm mean know solv problem machin solv problem machin sum get algorithm base larg amount problem data,"machine-learning,algorithm",",algorithm,machine-learning,self-learning"
question nomenclatur alreadi algorithm solut sure whether qualifi util heurist feel free skip problem explan friend write path find algorithm autopilot road vehicl comput game pretti classic problem find viabl necessarili optim good enough rout use algorithm take terrain layout vehicl capabl account modifi direct straight line path account whole map known priori invari though start destin arbitrari user chosen path guarante exist cooki cutter approach come twist limit storag space afford volatil memori start free rout found travel may take day real time path must save disk space save file custom data like sever limit limit save waypoint even cull trivial solut waypoint continu straight ahead rather larg margin order size data set solut came calcul rout start forget trivial non trivial waypoint serv proof solut exist provid set point reach sequenc guarante rout take us destin vehicl reach waypoint rout next one calcul scratch known exist correct correct put much strain cpu memori total rout length need go perman storag restart point along path subset solut connect two save waypoint actual question pathfind algorithm follow spars set waypoint near suffici rout allow easi effici calcul actual rout simultan guaranti exist subset full solut heurist approach understand normal heurist guarante exist solut mere suggest like candid case hint taken straight actual work solut thus doubt,"heuristics,path-planning",",algorithm,emotional-intelligence,facial-recognition,image-recognition,math"
understand neural network train recognis certain featur imag face car input imag pixel output set boolean valu indic object recognis imag realli get use approach detect featur detect face exampl go back origin imag determin locat boundari detect face achiev achiev base recognit algorithm separ algorithm use locat face seem unlik sinc find face need recognis imag reason use nn first place,"neural-networks,deep-learning,convolutional-neural-networks,computer-vision",",ai-design,algorithm,combinatorics,heuristics"
said ai assess scenario decid ai best suit construct new ai new task suffici time would ai develop suit ai power special task versatil whole much like brain architectur constraint,"neural-networks,philosophy,agi",",convolutional-neural-networks,neural-networks,reinforcement-learning"
ai progress drastic imagin tell fire robot take place job never autom,"philosophy,robots",",machine-learning"
want program write like human want font instead intellig program produc differ result train differ set generat differ handwrit train set would like part handwritten text save list path like vector graphic mayb mean simplifi thing could flatten path consecut straight line program receiv string text produc list path vector graphic whatev easier work question kind machin learn would best achiev,"machine-learning,training",",machine-learning"
wonder feasibl creat machin separ cloth basket basic level would distinguish top pant button sock programmat imag would requir train neural network recogn item real time becom exponenti difficult small space fast rate pick item lay way recogniz deduc whether top button etc sort accord sound ridicul pleas let know possibl would base sort comput vision well train neural network insight much appreci,"neural-networks,image-recognition",",machine-learning"
year deal teach knowledg represent knowledg represent languag discov anoth communiti inform system someth call dikw pyramid add anoth step knowledg name wisdom defin data simpli symbol inform answer knowledg answer wisdom answer question anyon done connect ai call data inform knowledg notion inform system particular would wisdom defin ai sinc kr languag would repres wisdom defin refer would welcom,knowledge-representation,",natural-language"
accord wikipedia ai effect occur onlook discount behavior artifici intellig program argu real intellig pamela mccorduck write part histori field artifici intellig everi time somebodi figur make comput someth play good checker solv simpl relat inform problem chorus critic say think ai research rodney brook complain everi time figur piec stop magic say oh comput wikipedia page propos sever differ reason could explain onlook might discount ai program howev reason seem impli human make mistak discount behavior ai program ai program might actual intellig want make altern argument human make mistak discount behavior ai program consid follow situat want build machin x x trait like intellig abl evalu intuit whether machin x criteria good definit x actual identifi whether someth x howev think peopl x build machin sure built machin x build machin examin see machin x machin lack x machin cool realli want machin x go back draw board think new idea reach x write whiteboard coupl hour realiz peopl x z cours tri build new machin z yes z must x build machin z check see x return back draw board cycl repeat repeat essenti human attempt determin whether entiti intellig via proxi measur proxi measur potenti faulti possibl meet proxi measur without ever actual intellig know defin intellig design test accur measur unlik us build machin intellig ai effect occur human know defin intellig due peopl dismiss program intellig argument valid correct,intelligence-testing,",research"
one serious question artifici intellig machin know differ right wrong good bad respect digniti faith empathi machin recogn correct incorrect right wrong depend origin design follow ethic creator man origin design teach comput someth right answer peopl selfish jealous self confid abl understand sorrow pain belief understand differ religion differ tradit belief creat ai might breakthrough one nation one race one ethnic religi group learn machin human,"ethics,value-alignment",",ai-community,ai-design"
someon suggest step step approach learn ai rather studi stack book long time deni book great helper thank advanc,"ai-design,training",",machine-learning"
se question ai abl adapt differ environ chang attempt interpret question evolutionari algorithm use solv optim problem measur fit various probabl solut algorithm process natur select suppos fit calcul environ chang mid train could easili happen real life scenario peopl may desir differ solut differ time would evolutionari algorithm abl respond effect chang,evolutionary-algorithms,",algorithm"
propos strategi ask strategi test genet algorithm past exact know find discuss classic exampl genet algorithm would popul certain amount simul time evalu breed proceed next generat would isol small part popul simul process keep evolv littl island time rest popul continu evolv normal could unit rest popul end simul would go trough breed popul continu super import part natur evolut probabl know actual work genet program,genetic-algorithms,",algorithm,emotional-intelligence,facial-recognition,image-recognition,math"
obvious hypothet true know perfect fit function bit hand wavi mean perfect way measur complet problem,genetic-programming,",human-inspired"
curious artifici intellig everyday job develop standard applic like websit basic function like user subscript file upload form save databas main know ai use game robot field use standard applic develop,applications,",combinatorial-games,combinatorics,game-ai"
heard ai solv math problem possibl creat logic system equival human solv mathemat call beauti manner ai find beauti mathemat solv problem use brute forc pleas provid exampl work done,research,",knowledge-representation,logic,world-knowledge"
tri gain intuit beyond definit possibl dimens appreci refer read,"machine-learning,models",",machine-learning"
seem deep neural network make improv larg add node connect abl put togeth abstract concept know start pixel start recogn high level object like cat face chair written word network ever shown learn abstract concept physic object highest level abstract observ,deep-learning,",convolutional-neural-networks,image-recognition,neural-networks"
bit confus definit life ai system call live thing even communic one anoth form call cell see cell collect sever chemic process turn non live like ai form sever line code,"research,philosophy",",deep-learning,deep-network,image-recognition,object-recognition"
interest applic ai game case adjust way answer general answer welcom well read neural network combin genet algorithm high level understand neural network use produc result input genet algorithm employ constant adjust weight neural network good answer found concept genet algorithm random mutat weight input neural network make sens understand would appli respect game exampl simpl enemi ai want adapt player play style good opportun implement ai genet algorithm combin neural network differ suitabl applic one go decid encod problem way mutat genet algorithm serv suitabl input neural network actual neural network alway design signal,"neural-networks,gaming,genetic-algorithms",",algorithm,machine-learning,mlp,neural-networks"
seen ai creat game self ai act lawyer call center etc mani problem exampl mobil develop new api technolog even new languag everi year new design new hardwar good code architectur design pattern secur imag anim optim autom test etc wonder ai help develop solv problem may want get locat ai suggest best api specif platform ai help refactor optim code help design e g golden ratio materi theme color suggest determin limit hardwar e g screen size ram convert anoth design pattern help ware latest vulner autom pentest etc help optim imag learn much reduc imag size peopl still ok generat autom test solut exist,"intelligence-testing,security",",machine-learning"
ai creat game content think ai develop mobil app comput languag might easi ai learn ai learn lot good open sourc project github trend predict help ai select topic creat great app lot detail let ai creat great app,computer-programming,",natural-language"
new topic think figur implement multi level perceptron mlp ann wonder simpl data set test mlp ann e small number input output get expect result uci cancer hope someon could save time point data use mayb start slight complex xor,neural-networks,",intelligent-agent,machine-learning"
concept intrins relat build sort media ai exist may think digit comput program use languag act way distinguish human media realli mater unconvent comput paradigm certain control limit ai matter synthet biolog ultim goal build biolog system scratch would synthet brain potenti introduc synthet human constitut ai look clear definit peopl mind refer ai,definitions,",problem-solving,programming-languages"
autonom car relat artifici intellig would presum artifici intellig abl copi human state mind perform task way autonom car rule base machin oper due environ self awar choos good way act never experienc situat know mani peopl often mention autonom car speak ai realli convinc relat either strict understand ai,"self-driving,strong-ai,cars,weak-ai",",self-driving,social"
advantag self drive car abl car traffic time also make peopl choos use car traffic public health actual becom wors realli interest,"research,self-driving,cars",",self-driving,social"
lot sci fi seem ai becom sentient termin peter f hamilton si commonwealth saga etc howev interest whether actual plausibl whether ai could actual break free form control us possibl whether research sort complex process power ai would need abl,"machine-learning,deep-learning",",research"
deepmind publish paper differenti neural comput basic combin neural network memori idea teach neural network creat recal use explicit memori certain task complement abil neural network well nns store knowledg implicit weight inform use work singl task store activ network degrad quick inform add lstms one tri slow degrad short term memori still happen instead keep necessari inform activ presum keep address memori slot specif inform activ also subject degrad question approach scale somewhat higher number task specif inform overwhelm network capabl keep address appropri memori slot activ,"deep-learning,ai-design",",deep-learning,machine-learning,neural-networks,research,training"
could algorithm determin whether ai algorithm ai complet one proceed program edit question edit due misinterpret first answer,"machine-learning,deep-learning,learning-theory,incompleteness-theorems",",algorithm"
slideshow document technolog use googl self drive car mention radar googl use radar lidar everyth radar particular technic advantag radar regard object detect track clarifi relationship ai radar sensor contribut self drive algorithm way lidar sensor premis ai algorithm influenc input govern sensor instanc self drive car reli sole camera constraint would alter ai algorithm perform,cars,",algorithm"
sometim alway commerci technolog low hang fruit earli applic troubl come exampl applic would appli conscious ai per conscious would propos expand strict definit state awak awar one surround along capabl self awar thank,"object-recognition,pattern-recognition",",human-like,philosophy,turing-test"
machin learn allow system self autom sens predict futur state base learn far question machin learn techniqu way make system develop domain knowledg,"machine-learning,knowledge-representation",",machine-learning"
age spiritu machin ray kurzweil predict comput devic would abl perform trillion oper per second addit claim comput devic would approxim equal comput abil human brain due moor law exponenti growth kurzweil first predict come true pace second predict come true mani year,hypercomputation,",machine-learning"
creat snake game uniti would like implement ai snake wander around globe avoid collis snake globe possibl would also like make ai snake purpos trap snake snake would collid die ai snake must meet follow requir must move certain way snake control user use arrow key keyboard therefor would also like ai snake move use form input ai snake must move sphere know creat artifici intellig easi task would like know open sourc project use accomplish task,gaming,",combinatorial-games,combinatorics,game-ai"
